city,lat,lon,temp_max,temp,humidity,cloudiness,wind_speed,country,date
bubaque,11.2833,-15.8333,301.36,301.36,75,91,2.93,GW,1635206082
bella vista,36.4295,-94.2316,289.66,286.97,79,1,3.09,US,1635206083
nishihara,26.1842,127.7558,296.75,295.87,66,20,2.57,JP,1635206083
verkhnyaya inta,65.9811,60.3094,264.68,264.68,88,68,6.45,RU,1635206084
talnakh,69.4865,88.3972,264.06,264.06,96,100,2.59,RU,1635206085
sao gabriel da cachoeira,-0.1303,-67.0892,295.9,295.9,97,96,0.57,BR,1635206085
praya,14.9215,-23.5087,299.45,299.45,83,40,7.2,CV,1635206086
hofgeismar,51.4833,9.4,284.75,281.74,94,78,2.71,DE,1635206086
adre,13.4667,22.2,297.31,297.31,23,34,3.96,TD,1635206087
kroya,-7.6331,109.2461,299.68,299.68,77,86,2.37,ID,1635206087
durban,-29.8579,31.0292,289.83,289.82,95,100,0.89,ZA,1635205873
pachmarhi,22.4667,78.4333,287.67,287.67,64,23,0.76,IN,1635206088
smithers,54.7804,-127.1743,279.33,279.33,93,90,1.03,CA,1635205821
svobodnyy,51.4,128.1333,276.97,276.97,71,30,0.19,RU,1635206088
lajas,18.05,-67.0593,300.99,299.59,77,61,0.89,PR,1635206089
korla,41.7597,86.1469,280.71,280.71,44,0,1.67,CN,1635206089
pokhara,28.2333,83.9833,288.13,288.13,56,1,3.16,NP,1635206090
sobolevo,54.4299,31.8996,274.05,274.05,72,84,4.82,RU,1635206090
samut prakan,13.5,100.45,301.48,297.87,85,92,2.62,TH,1635206091
te anau,-45.4167,167.7167,291.23,291.23,68,57,1.04,NZ,1635205871
talcahuano,-36.7167,-73.1167,288.97,288.97,72,0,7.72,CL,1635206091
alyangula,-13.8483,136.4192,303.08,303.08,74,47,0.0,AU,1635206022
santa helena,-2.2311,-45.3,297.97,297.97,86,53,1.19,BR,1635206092
ko samui,9.5357,99.9357,300.85,300.85,73,76,2.86,TH,1635206093
ancud,-41.8697,-73.8203,284.5,283.89,95,100,6.4,CL,1635205931
bassar,9.25,0.7833,297.21,297.21,77,30,1.2,TG,1635206094
narsaq,60.9167,-46.05,273.3,273.3,47,22,4.19,GL,1635206094
boende,-0.2167,20.8667,294.99,294.99,92,51,0.97,CD,1635206095
qingquan,30.4511,115.2559,288.62,288.62,71,84,0.88,CN,1635206095
znamenskoye,57.1281,73.8282,278.43,278.43,95,100,4.29,RU,1635206096
darnah,32.767,22.6367,294.45,294.45,79,86,8.26,LY,1635206096
rovaniemi,66.5,25.7167,273.82,273.82,100,90,2.06,FI,1635206097
dakar,14.6937,-17.4441,300.64,300.22,83,100,2.06,SN,1635205987
